ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
6453,2,1,1,2,40.5179407,40.51933773,-74.2110283,-74.20918543
6455,4,2,2,2,40.5179407,40.51933773,-74.20734257,-74.2054997
6456,7,6,1,4,40.5179407,40.51933773,-74.2054997,-74.20365684
6458,5,2,3,0,40.5179407,40.51933773,-74.20181397,-74.19997111
6459,2,0,1,0,40.5179407,40.51933773,-74.19997111,-74.19812824
6460,14,8,4,4,40.5179407,40.51933773,-74.19812824,-74.19628538
6461,3,0,3,0,40.5179407,40.51933773,-74.19628538,-74.19444251
6462,2,1,1,2,40.5179407,40.51933773,-74.19444251,-74.19259964
6763,3,1,0,4,40.51933773,40.52073477,-74.23129982,-74.22945696
6764,1,0,0,0,40.51933773,40.52073477,-74.22945696,-74.22761409
6769,1,0,1,0,40.51933773,40.52073477,-74.22024263,-74.21839976
6772,1,1,0,4,40.51933773,40.52073477,-74.21471403,-74.21287117
6774,1,0,1,0,40.51933773,40.52073477,-74.2110283,-74.20918543
6776,2,0,2,0,40.51933773,40.52073477,-74.20734257,-74.2054997
6780,2,1,1,2,40.51933773,40.52073477,-74.19997111,-74.19812824
6781,2,0,2,0,40.51933773,40.52073477,-74.19812824,-74.19628538
6782,4,1,2,0,40.51933773,40.52073477,-74.19628538,-74.19444251
6786,11,2,8,0,40.51933773,40.52073477,-74.18891391,-74.18707105
7080,8,3,5,0,40.52073477,40.5221318,-74.23867128,-74.23682842
7081,5,1,0,4,40.52073477,40.5221318,-74.23682842,-74.23498555
7084,1,1,0,4,40.52073477,40.5221318,-74.23129982,-74.22945696
7085,2,1,1,2,40.52073477,40.5221318,-74.22945696,-74.22761409
7088,4,1,3,0,40.52073477,40.5221318,-74.22392836,-74.22208549
7091,20,7,2,4,40.52073477,40.5221318,-74.21839976,-74.2165569
7092,1,0,0,0,40.52073477,40.5221318,-74.2165569,-74.21471403
7093,1,0,1,0,40.52073477,40.5221318,-74.21471403,-74.21287117
